,PE_Shiller,PE_multpl,PE_investorsfriend,PE_fullratio,PE_HSI
1920-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1920-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1920-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1920-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1921-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1921-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1921-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1921-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1921-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1921-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1921-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1921-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1921-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1921-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1921-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1921-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1922-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1922-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1922-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1922-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1922-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1922-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1922-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1922-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1922-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1922-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1922-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1922-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1923-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1923-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1923-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1923-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1923-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1923-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1923-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1923-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1923-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1923-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1923-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1923-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1924-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1924-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1924-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1924-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1924-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1924-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1924-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1924-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1924-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1924-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1924-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1924-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1925-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1925-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1925-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1925-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1925-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1925-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1925-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1925-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1925-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1925-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1925-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1925-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1926-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1926-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1926-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1926-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1926-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1926-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1926-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1926-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1926-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1926-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1926-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1926-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1927-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1927-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1927-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1927-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1927-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1927-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1927-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1927-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1927-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1927-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1927-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
